,Sample,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,stdE (GPa),stdH (GPa),CI,IQ,XRD
compo_1,grad6-CrMo mesure 1,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,318.6608079897524,12.593570371248004,15.81215172206905,0.5693504496313389,0.5084359,83536.15,1.0
compo_2,grad6-CrMo mesure 2,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,307.75208112646794,12.19282999955469,11.735733671676567,0.027792807374312996,0.47820050000000003,78974.57,1.0
compo_3,grad6-CrMo mesure 3,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,309.88523996040993,12.852234637128777,14.353188366569276,0.5103623883905852,0.4708745,76758.24,1.0
compo_4,grad6-CrMo mesure 4,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,294.43199772423475,12.34676456405349,11.053202781287082,0.24364767108735938,0.460529,73371.05,1.0
compo_5,grad6-CrMo mesure 5,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,290.8198874074148,12.786323682421902,9.518931886930567,0.5087847538160404,0.4641919,73017.89,1.0
compo_6,grad6-CrMo mesure 6,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,244.97622785788636,12.469830309201596,7.254135907029277,0.6949260728828812,0.43198690000000006,69886.54,1.0
compo_7,grad6-CrMo mesure 7,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,233.2143285067614,12.04394971358498,12.571747065511921,0.6781942614606397,0.3645811,63169.42,1.0
compo_8,grad6-CrMo mesure 8,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,262.81271419548335,12.589240282954409,5.561179502233671,0.2675352585845524,0.36920949999999997,62913.97,1.0
compo_9,grad6-CrMo mesure 9,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,268.1963422150863,12.725278341946384,8.250702628490338,0.4262340639778396,0.3415437,61020.48,1.0
compo_10,grad6-CrMo mesure 10,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,262.3582300393249,12.367557836675976,2.861528090835261,0.5048304440675022,0.40138320000000005,65254.5,1.0
compo_11,grad6-CrMo mesure 11,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,261.44868274659325,12.067392924723988,5.764290253947681,0.6557112250311012,0.3289553,59752.76,1.0
compo_12,grad6-NbTi mesure 1,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,264.84804708114814,12.269716622221328,9.228045484013423,0.7175912156981562,0.3283698,57888.38,1.0
compo_13,grad6-NbTi mesure 2,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,250.70225278203634,11.862144630723515,6.88774966171541,0.3390229857201495,0.30716,57382.47,1.0
compo_14,grad6-NbTi mesure 3,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,240.67340591591415,11.288960700895196,9.214090253238384,0.5559990931343523,0.2561257,54186.98,1.0
compo_15,grad6-NbTi mesure 4,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,230.14059341836375,10.96187880817233,4.430292845404846,0.17892039478993804,0.23730140000000002,52541.05,1.0
compo_16,grad6-NbTi mesure 5,0.0,24.24,25.63,27.39,22.74,0.0,31.25,34.13,18.21,16.41,212.94710311116128,10.704029642025713,6.77977479309538,0.0720387300836204,0.1396406,46965.76,1.0
compo_17,grad6-NbTi mesure 6,0.0,26.38,24.03,30.16,19.43,0.0,33.98,31.97,20.04,14.01,208.44383120450829,11.131921042608898,7.998098554591653,0.29038569664353375,0.1710069,48980.44,1.0
compo_18,grad6-NbTi mesure 7,0.0,29.01,22.23,32.53,16.22,0.0,37.28,29.5,21.55,11.67,182.77399120974678,10.297357366241233,4.373732446410866,0.3361916549129711,0.1277132,46081.75,1.0
compo_19,grad6-NbTi mesure 8,0.0,31.38,20.3,35.04,13.28,0.0,40.31,26.93,23.21,9.55,180.970006624387,9.831075054325193,6.896096593870479,0.18075116225260343,0.08399881,44509.68,1.0
compo_20,grad6-NbTi mesure 9,0.0,33.34,17.96,37.48,11.23,0.0,43.02,23.94,24.93,8.11,162.4633790805206,9.542945343987709,4.387024813677353,0.4466359295709665,0.0372929,43037.66,1.0
compo_21,grad6-NbTi mesure 10,0.0,34.66,15.46,40.05,9.82,0.0,45.15,20.8,26.9,7.16,139.77926170204444,8.261291911038787,0.37462965956574507,0.11858082346208756,0.06778922,42113.36,1.0
compo_22,grad6-NbTi mesure 11,0.0,36.24,13.11,42.22,8.44,0.0,47.52,17.75,28.54,6.2,107.90186155433626,6.858752389267858,0.643322769757331,0.7282350569226985,0.07471777,42027.58,1.0
compo_23,grad6-NbTi mesure 12,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,83.81481927950297,6.282143441809812,0.93665904362708,0.34402740083956873,0.07275116,41671.81,1.0
compo_24,grad7-CrMo mesure 1,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,291.6736265511941,16.722589679146548,8.530872300904473,0.2526708614980287,0.02261532,41358.1,1.0
compo_25,grad7-CrMo mesure 2,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,292.1396721429185,16.871029372733304,7.82672279030258,0.41135292633751486,0.02292051,41851.49,1.0
compo_26,grad7-CrMo mesure 3,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,278.6044749540787,17.164143652519833,11.531612323489759,0.270972027794281,0.01843793,38512.27,0.0
compo_27,grad7-CrMo mesure 4,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,276.9419147741378,17.163382782305128,5.48407608661579,0.40369475338279404,0.01979029,38816.01,0.0
compo_28,grad7-CrMo mesure 5,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,286.45352694331444,17.13175736133264,3.4941143890432618,0.12919275666302218,0.01996134,38845.28,0.0
compo_29,grad7-CrMo mesure 6,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,278.3712195986294,17.476607484529026,7.390779618884893,0.18005397519759883,0.02295594,39323.42,1.0
compo_30,grad7-CrMo mesure 7,7.45,8.58,32.37,0.0,51.6,9.35,10.97,42.74,0.0,36.93,268.9801373383669,16.980681834186733,4.604596950897543,0.524398899133789,0.0225915,39007.14,1.0
compo_31,grad7-CrMo mesure 8,8.28,9.73,31.73,0.0,50.26,10.32,12.35,41.61,0.0,35.72,264.9297425543617,17.461145555997323,8.602776828080525,0.07857960877687288,0.02368094,38418.86,1.0
compo_32,grad7-CrMo mesure 9,9.25,11.05,31.44,0.0,48.26,11.4,13.89,40.78,0.0,33.93,257.1166048761275,17.43729462235012,6.57849401756384,0.6094288947131714,0.0147478,35343.68,0
compo_33,grad7-CrMo mesure 10,10.52,12.55,30.72,0.0,46.21,12.83,15.59,39.43,0.0,32.14,183.50152525440598,12.910720127553564,3.3594516608219367,0.19066475351693626,0.0147478,35343.68,0
compo_34,grad7-CrMo mesure 11,11.78,14.33,29.88,0.0,44.0,14.22,17.61,37.92,0.0,30.26,185.233870348548,12.97086042216645,4.418508971082656,0.15902761719694017,0.0147478,35343.68,0
compo_35,grad7-CrMo mesure 12,13.18,16.0,29.25,0.0,41.57,15.7,19.42,36.65,0.0,28.23,181.2430851168186,12.786241665738109,5.643718394612554,0.13364776049862315,0.0147478,35343.68,0
compo_36,grad7-NbZr mesure 1,14.09,17.13,28.79,0.0,39.99,16.65,20.62,35.79,0.0,26.94,179.344260460152,12.65818025939716,5.018653814023506,0.2868030618046529,0.0147478,35343.68,0
compo_37,grad7-NbZr mesure 2,15.7,18.94,27.77,0.0,37.6,18.33,22.52,34.12,0.0,25.03,171.10076757278347,12.404436661935708,5.525876322005978,0.2497841076918776,0.0147478,35343.68,0
compo_38,grad7-NbZr mesure 3,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,160.16778365496015,12.00566219668969,1.1007066783146149,0.18727585089606769,0.0147478,35343.68,0
compo_39,grad7-NbZr mesure 4,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,158.6552735472622,11.858586843548187,3.3981901290394445,0.15494426259517477,0.0147478,35343.68,0
compo_40,grad7-NbZr mesure 5,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,150.4345438689423,11.692421526537988,3.3141854438691656,0.07385643926019862,0.0147478,35343.68,0
compo_41,grad7-NbZr mesure 6,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,137.14937488640516,11.27222053501475,2.4761885611754924,0.1040696476052135,0.0147478,35343.68,0
compo_42,grad7-NbZr mesure 7,25.54,32.96,19.76,0.0,21.74,27.68,36.38,22.52,0.0,13.42,148.6313720700469,10.971675801486638,3.6612718647098905,0.12993377077997745,0.0147478,35343.68,0
compo_43,grad7-NbZr mesure 8,28.1,36.11,17.29,0.0,18.5,30.01,39.29,19.43,0.0,11.26,134.41445531383437,10.438318266349171,1.1783366046852453,0.10685597469464571,0.0147478,35343.68,0
compo_44,grad7-NbZr mesure 9,28.81,38.14,16.37,0.0,16.68,30.53,41.16,18.24,0.0,10.08,138.32140111783644,10.215307485946438,0.5850227530674063,0.01877926809397669,0.0147478,35343.68,0
compo_45,grad7-NbZr mesure 10,30.39,40.66,14.54,0.0,14.42,31.88,43.45,16.04,0.0,8.62,132.23347353122153,9.878208372116351,3.125295689419355,0.09752210923229256,0.0147478,35343.68,0
compo_46,grad7-NbZr mesure 11,31.29,42.99,13.35,0.0,12.37,32.54,45.53,14.6,0.0,7.33,125.79454709247098,9.59162810286591,1.4236549459993217,0.09906370970787486,0.0147478,35343.68,0
compo_47,grad8-CrMo mesure 1,3.75,0.0,33.97,5.33,56.95,5.02,0.0,47.81,3.74,43.43,250.09246913963543,15.02881875272767,4.247926067918273,0.1670100160416467,0.1333845,53012.94,1.0
compo_48,grad8-CrMo mesure 2,4.23,0.0,33.24,6.22,56.31,5.67,0.0,46.89,4.38,43.05,251.45208849647574,14.487755353937061,0.6558245081905901,0.4619133970148743,0.2008858,57436.47,1.0
compo_49,grad8-CrMo mesure 3,4.83,0.0,32.63,6.93,55.61,6.48,0.0,46.07,4.89,42.55,262.0883742214608,14.804563859654298,6.339446431498793,0.6481415705403644,0.20818620000000002,57731.11,1.0
compo_50,grad8-CrMo mesure 4,5.32,0.0,31.67,8.35,54.65,7.17,0.0,44.91,5.91,42.0,256.72350456016574,14.498873725205481,9.075810178858603,0.32743029631482373,0.17595629999999998,54987.99,1.0
compo_51,grad8-CrMo mesure 5,6.06,0.0,31.12,9.63,53.2,8.17,0.0,44.13,6.82,40.89,259.3473410869695,14.96830751227585,5.145777112301171,0.1101694245714049,0.1413539,52734.14,1.0
compo_52,grad8-CrMo mesure 6,6.76,0.0,30.37,11.17,51.71,9.13,0.0,43.14,7.92,39.81,253.35970650949943,15.087157946173111,2.846218469459078,0.20592295052389253,0.0866479,48938.56,1.0
compo_53,grad8-CrMo mesure 7,7.56,0.0,29.43,13.11,49.9,10.24,0.0,41.92,9.32,38.52,252.7707559687476,15.04140123129479,1.1126214886695158,0.11512486666536366,0.1488807,53609.42,1.0
compo_54,grad8-CrMo mesure 8,8.42,0.0,28.69,14.88,48.01,11.42,0.0,40.89,10.59,37.1,232.940083172718,15.179230332780742,1.8106432992671282,0.7734104364146509,0.0147478,35343.68,0
compo_55,grad8-CrMo mesure 9,9.57,0.0,27.75,16.72,45.95,12.98,0.0,39.59,11.91,35.52,182.5117061257753,12.590345539578092,3.029990459798722,0.1848003857988936,0.0147478,35343.68,0
compo_56,grad8-CrMo mesure 10,10.7,0.0,26.82,18.93,43.56,14.52,0.0,38.28,13.49,33.7,176.7894064765741,12.585051679831537,1.8626025222942184,0.17755181729983152,0.0147478,35343.68,0
compo_57,grad8-CrMo mesure 11,11.79,0.0,25.76,21.37,41.09,16.03,0.0,36.85,15.26,31.86,170.39100598353735,12.257603203649603,4.351389160567306,0.1935483305182546,0.0147478,35343.68,0
compo_58,grad8-TiZr mesure 1,12.61,0.0,24.92,23.17,39.3,17.18,0.0,35.71,16.58,30.53,163.66035232225187,12.102601195400887,2.0098116166668727,0.0442640952152801,0.0147478,35343.68,0
compo_59,grad8-TiZr mesure 2,13.78,0.0,23.76,25.87,36.6,18.82,0.0,34.13,18.55,28.5,161.16068244667414,11.91451715169544,3.7082595517217323,0.01679040499287271,0.0147478,35343.68,0
compo_60,grad8-TiZr mesure 3,15.05,0.0,22.46,28.61,33.88,20.61,0.0,32.36,20.58,26.46,155.76805723109237,11.372019107072186,3.4502542787301222,0.2590874738824456,0.0147478,35343.68,0
compo_61,grad8-TiZr mesure 4,16.24,0.0,20.92,31.57,31.27,22.35,0.0,30.29,22.82,24.54,147.4719868118337,11.06517350172269,3.214003410049336,0.041552939688966735,0.0147478,35343.68,0
compo_62,grad8-TiZr mesure 5,17.48,0.0,19.61,34.37,28.55,24.13,0.0,28.48,24.92,22.47,142.39297818427735,10.511166691184552,4.682744506450617,0.23236800013169756,0.0147478,35343.68,0
compo_63,grad8-TiZr mesure 6,18.8,0.0,18.06,37.34,25.8,26.07,0.0,26.35,27.19,20.39,135.63183461715155,10.247022722812815,1.6839187247494696,0.21524568281224124,0.0147478,35343.68,0
compo_64,grad8-TiZr mesure 7,19.99,0.0,16.52,40.33,23.17,27.86,0.0,24.21,29.52,18.41,130.51300798827805,9.505847342950776,1.9951561223557168,0.16036346406063864,0.0147478,35343.68,0
compo_65,grad8-TiZr mesure 8,21.35,0.0,15.19,42.74,20.72,29.83,0.0,22.32,31.35,16.5,121.70710933913217,9.093568869823978,2.8394187147323575,0.08276137045282846,0.0147478,35343.68,0
compo_66,grad8-TiZr mesure 9,22.55,0.0,13.51,45.8,18.15,31.69,0.0,19.97,33.8,14.54,116.73020843521472,8.372667335558972,2.2370368425834215,0.10753102415760751,0.0147478,35343.68,0
compo_67,grad8-TiZr mesure 10,23.95,0.0,11.89,48.55,15.61,33.8,0.0,17.65,35.98,12.56,112.59298843657756,8.194538131267016,3.0464036994430908,0.3899796338551467,0.0147478,35343.68,0
compo_68,grad8-TiZr mesure 11,24.54,0.0,11.5,49.03,14.92,34.61,0.0,17.07,36.32,12.0,115.33218550961541,8.727646854442373,4.135288214243598,0.1493859598031125,0.0147478,35343.68,0
compo_69,grad9-NbCr mesure 1,3.31,31.5,0.0,5.31,59.87,4.97,44.0,0.0,3.59,47.45,160.4270470898133,13.20617483825272,4.303731599633843,0.07558064348639196,0.0147478,35343.68,0
compo_70,grad9-NbCr mesure 2,4.31,30.5,0.0,6.31,58.87,5.97,43.0,0.0,4.59,46.45,170.66432707094563,13.311344614214772,4.493951383039818,0.2652481570521517,0.0147478,35343.68,0
compo_71,grad9-NbCr mesure 3,5.52,28.91,0.0,8.57,57.0,7.67,40.92,0.0,6.26,45.15,176.24004837207346,13.106419258046472,2.9568787717700977,0.07190860468775682,0.0147478,35343.68,0
compo_72,grad9-NbCr mesure 4,6.26,28.4,0.0,9.9,55.44,8.7,40.18,0.0,7.22,43.9,171.53999152614023,12.773295790376782,4.322459360759536,0.1764686213318886,0.0147478,35343.68,0
compo_73,grad9-NbCr mesure 5,7.06,27.53,0.0,11.31,54.1,9.83,39.0,0.0,8.27,42.9,173.8027029328747,12.761328363563582,3.833073102580843,0.27614551855737,0.0147478,35343.68,0
compo_74,grad9-NbCr mesure 6,7.89,26.83,0.0,13.12,52.16,10.99,38.03,0.0,9.59,41.39,174.39509107356588,12.589284073804933,4.5392538431626965,0.1601711111658901,0.0147478,35343.68,0
compo_75,grad9-NbCr mesure 7,8.9,26.03,0.0,14.95,50.13,12.39,36.91,0.0,10.93,39.78,167.178644369069,12.264438674202019,3.9588827926672074,0.24959661049186524,0.0147478,35343.68,0
compo_76,grad9-NbCr mesure 8,9.68,25.27,0.0,17.07,47.99,13.49,35.88,0.0,12.5,38.13,163.61333744427876,11.738618186945729,2.576801792819629,0.15605239207107227,0.0147478,35343.68,0
compo_77,grad9-NbCr mesure 9,10.75,24.54,0.0,19.12,45.59,14.98,34.82,0.0,13.99,36.21,157.62832048374418,11.691866471438031,1.6951332875170135,0.08002962537871944,0.0147478,35343.68,0
compo_78,grad9-NbCr mesure 10,11.71,23.59,0.0,21.5,43.2,16.35,33.53,0.0,15.76,34.37,156.28736284504916,11.227786369891712,1.151098179476871,0.03156346577418414,0.0147478,35343.68,0
compo_79,grad9-NbCr mesure 11,12.86,22.81,0.0,23.93,40.4,17.94,32.41,0.0,17.53,32.12,149.9370353999519,10.731522447094438,2.209540776811406,0.046859555681942035,0.0147478,35343.68,0
compo_80,grad9-NbCr mesure 12,13.93,21.89,0.0,26.5,37.68,19.46,31.13,0.0,19.43,29.99,149.07711476063452,10.472651439740167,1.6184388263441938,0.09540190654687171,0.0147478,35343.68,0
compo_81,grad9-NbCr mesure 13,14.07,21.61,0.0,26.86,37.47,19.66,30.76,0.0,19.72,29.85,150.55081393079277,10.474516768318182,3.3810456821579016,0.10594094134568091,0.0147478,35343.68,0
compo_82,grad9-TiZr mesure 1,15.25,20.54,0.0,29.87,34.34,21.34,29.29,0.0,21.96,27.41,106.2369323616424,9.035662805897658,2.132953929558244,0.19019033465153934,0.0147478,35343.68,0
compo_83,grad9-TiZr mesure 2,16.44,19.52,0.0,32.58,31.46,23.04,27.86,0.0,23.97,25.13,128.23830592766396,9.221275226264357,2.83352489782042,0.08990700708779589,0.0147478,35343.68,0
compo_84,grad9-TiZr mesure 3,17.49,18.3,0.0,35.52,28.69,24.58,26.21,0.0,26.22,22.99,128.8841303852651,8.724551783911766,3.9016878544565654,0.11910079995064587,0.0147478,35343.68,0
compo_85,grad9-TiZr mesure 4,18.61,17.26,0.0,38.32,25.81,26.21,24.75,0.0,28.33,20.71,124.65908679977618,8.308420129821751,0.7164292267778386,0.11868818374726155,0.0147478,35343.68,0
compo_86,grad9-TiZr mesure 5,19.7,15.9,0.0,41.11,23.28,27.84,22.89,0.0,30.51,18.76,116.85739547689425,7.79059199650889,4.783062833588017,0.1288159398850604,0.0147478,35343.68,0
compo_87,grad9-TiZr mesure 6,20.76,14.71,0.0,43.86,20.66,29.43,21.24,0.0,32.64,16.69,111.67252945362836,7.608262299195796,2.5909331766048154,0.09648552291820502,0.01908072,39842.08,0.0
compo_88,grad9-TiZr mesure 7,21.91,13.32,0.0,46.61,18.17,31.16,19.29,0.0,34.81,14.73,119.61601461450091,8.531236639486735,1.6211977957881996,0.05295448554956595,0.0147478,35343.68,0
compo_89,grad9-TiZr mesure 8,22.99,12.08,0.0,49.22,15.71,32.8,17.55,0.0,36.87,12.77,117.06644754780461,8.69525698136168,3.0703547210629454,0.1760035490774119,0.0147478,35343.68,0
compo_90,grad9-TiZr mesure 9,24.08,10.61,0.0,51.93,13.38,34.5,15.49,0.0,39.07,10.93,111.52977558313614,8.475684915758169,1.9988122944347875,0.11541292495065684,0.0147478,35343.68,0
compo_91,grad9-TiZr mesure 10,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,105.71807375498375,8.033012932904146,2.7307128383702044,0.11594695609105522,0.0147478,35343.68,0
compo_92,grad9-TiZr mesure 11,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,100.13272985849841,7.315246424878643,1.0010022560584084,0.08859944010018199,0.0147478,35343.68,0
compo_93,grad10-NbMo mesure 1,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,225.93933761839168,12.839713432332085,9.27626030576677,0.8307210755251249,0.10992629999999999,46876.79,1.0
compo_94,grad10-NbMo mesure 2,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,225.23666843998407,12.523790600902526,4.2431825014185085,0.3628560476559095,0.172147,50094.25,1.0
compo_95,grad10-NbMo mesure 3,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,223.1041389290622,12.257904704588341,0.7363449388427225,0.158086515323175,0.1354854,47525.52,1.0
compo_96,grad10-NbMo mesure 4,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,216.86725811493025,12.239406497527998,1.1968071852094468,0.2881266813366655,0.1314481,47198.19,1.0
compo_97,grad10-NbMo mesure 5,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,216.23769758720596,11.578012866437575,5.844584136810754,0.08771591741071331,0.04365628,48603.29,1.0
compo_98,grad10-NbMo mesure 6,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,214.39438911239176,11.770090446558928,8.498889229198268,0.5827940405888047,0.0845386,44508.17,1.0
compo_99,grad10-NbMo mesure 7,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,208.24731853750933,11.272524607729672,8.002275683092964,0.01899369952387746,0.06136465,43051.03,1.0
compo_100,grad10-NbMo mesure 8,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,204.94610961633825,11.216679302314294,3.1188683366308934,0.27849938328273405,0.05234287,42638.79,1.0
compo_101,grad10-NbMo mesure 9,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,196.5169691260915,10.792107902738572,2.5918897979830575,0.33609406271885467,0.06155348,43095.79,1.0
compo_102,grad10-NbMo mesure 10,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,197.6478152884141,11.066335002253624,0.8133467499137542,0.3550003545691986,0.07024246,43490.85,1.0
compo_103,grad10-NbMo mesure 11,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,192.8011843878355,10.7464420792198,3.4895046053578667,0.14438026328384415,0.06621779,43039.02,1.0
compo_104,grad10-NbMo mesure 12,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,191.1467120890414,10.740656070917899,4.340066489450625,0.13447794865815993,0.0597902,42471.54,1.0
compo_105,grad10-NbMo mesure 13,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,180.9043271198237,10.239261705984934,4.244999755080045,0.4018338843286677,0.07059774,43142.6,1.0
compo_106,grad10-TiZr mesure 1,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,161.81330361826508,10.279075719118246,2.1789931592447678,0.2885111675686969,0.04218105,44072.61,1.0
compo_107,grad10-TiZr mesure 2,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,166.63460506500692,10.262722216730493,4.445592284967634,0.033074154685702115,0.04256815,44199.12,1.0
compo_108,grad10-TiZr mesure 3,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,165.1873343115181,10.043779288815893,4.243779104079831,0.1315173521311801,0.03791868,43910.76,1.0
compo_109,grad10-TiZr mesure 4,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,165.7204534549906,9.930054994881095,5.124472969589546,0.2805107379274302,0.03217093,43660.72,1.0
compo_110,grad10-TiZr mesure 5,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,154.2907610300219,9.070949867880975,4.4718774323601345,0.19335753968966846,0.02821477,43234.14,1.0
compo_111,grad10-TiZr mesure 6,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,157.77871925570145,9.70434063560095,3.811473660058012,0.48583543784440475,0.02750882,43251.43,1.0
compo_112,grad10-TiZr mesure 7,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,156.27582771431793,9.485609851502293,1.371023292269996,0.32209924863054296,0.02361583,42835.98,1.0
compo_113,grad10-TiZr mesure 8,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,152.93551847792946,9.374784477484656,2.6226049904984974,0.304032683965292,0.02410824,42677.15,1.0
compo_114,grad10-TiZr mesure 9,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,155.23743733192046,8.951803598968791,3.2848285845785368,0.10466717181118625,0.02258657,42499.41,1.0
compo_115,grad10-TiZr mesure 10,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,144.83164807119613,8.87132620982253,2.3431063911805605,0.4379236027158955,0.02053898,42099.87,1.0
